Elements_In_Peaks	Elements_In_Cores	Elements_Outside_Cores
4494	633	3861
4728	674	4054
4842	699	4143
4668	560	4108
4717	746	3971
4793	692	4101
4740	579	4161
4836	713	4123
5079	674	4405
4875	593	4282
4580	714	3866
4586	633	3953
4677	631	4046
4565	644	3921
4564	708	3856
4568	587	3981
4818	630	4188
4744	686	4058
4876	755	4121
4800	727	4073
4498	625	3873
4086	579	3507
5019	638	4381
4523	584	3939
4698	689	4009
4611	607	4004
4785	765	4020
4596	606	3990
4424	668	3756
4804	720	4084
4525	706	3819
5038	587	4451
4725	674	4051
4641	596	4045
4689	687	4002
4614	670	3944
4858	741	4117
4893	685	4208
4900	713	4187
4482	604	3878
4376	635	3741
4359	575	3784
5182	637	4545
4951	744	4207
4548	720	3828
4665	703	3962
4464	666	3798
4854	717	4137
4480	658	3822
4610	630	3980
4575	674	3901
4704	654	4050
4394	617	3777
4387	611	3776
4253	578	3675
4529	632	3897
4517	606	3911
4624	713	3911
4229	584	3645
5194	737	4457
4862	648	4214
4465	621	3844
4330	592	3738
4761	736	4025
4799	728	4071
4602	738	3864
4396	697	3699
4565	668	3897
4528	603	3925
4544	724	3820
4906	689	4217
4714	634	4080
4323	561	3762
4850	708	4142
5032	720	4312
4267	546	3721
4834	682	4152
4821	693	4128
4357	585	3772
4537	657	3880
4591	687	3904
4797	649	4148
4699	738	3961
4581	703	3878
4406	645	3761
4311	623	3688
4693	637	4056
4718	645	4073
4826	634	4192
4796	747	4049
4644	632	4012
4776	691	4085
4810	666	4144
4758	656	4102
4884	669	4215
4523	676	3847
4127	615	3512
4730	652	4078
4231	602	3629
4448	605	3843
4884	733	4151
4645	691	3954
5014	704	4310
4765	658	4107
4987	731	4256
4905	729	4176
4610	647	3963
4519	588	3931
4477	619	3858
4484	622	3862
4791	665	4126
4500	720	3780
4438	666	3772
4703	732	3971
4468	625	3843
4445	639	3806
4805	595	4210
4552	697	3855
4671	648	4023
4466	678	3788
4516	668	3848
4728	713	4015
4687	641	4046
4758	597	4161
4259	634	3625
4655	637	4018
4588	636	3952
4624	610	4014
4558	648	3910
4288	582	3706
4384	655	3729
4640	730	3910
4927	699	4228
4395	648	3747
5016	667	4349
4936	652	4284
4405	625	3780
4866	702	4164
4784	683	4101
4803	632	4171
4611	562	4049
4851	727	4124
4738	777	3961
4669	731	3938
4928	682	4246
4824	643	4181
4565	610	3955
4502	615	3887
4702	655	4047
4550	557	3993
4720	640	4080
4534	586	3948
4912	668	4244
4940	699	4241
4373	606	3767
4672	674	3998
4544	710	3834
4577	667	3910
4747	746	4001
4640	588	4052
4571	635	3936
4400	571	3829
5007	713	4294
4855	675	4180
4874	711	4163
4493	635	3858
4916	627	4289
4958	807	4151
4746	670	4076
4548	711	3837
4850	748	4102
4898	661	4237
4655	643	4012
4752	651	4101
5045	705	4340
4841	665	4176
4703	719	3984
4435	619	3816
4484	584	3900
4937	802	4135
4416	674	3742
4920	673	4247
4831	719	4112
5164	771	4393
4732	662	4070
4781	678	4103
4896	606	4290
4868	740	4128
4807	591	4216
4664	611	4053
4463	588	3875
4671	657	4014
4758	617	4141
4897	736	4161
4256	552	3704
4697	701	3996
4403	587	3816
4636	627	4009
4524	625	3899
4521	702	3819
4573	680	3893
4625	584	4041
5038	797	4241
4447	646	3801
4877	680	4197
4335	645	3690
4428	604	3824
4565	626	3939
4769	615	4154
4487	646	3841
4733	696	4037
4632	613	4019
4640	599	4041
4622	668	3954
4256	697	3559
4495	668	3827
4278	577	3701
4773	591	4182
4738	714	4024
4447	692	3755
4356	626	3730
4601	552	4049
5231	802	4429
4744	655	4089
4541	609	3932
4547	633	3914
5036	700	4336
4380	570	3810
4842	587	4255
4775	732	4043
4702	671	4031
4767	648	4119
4793	731	4062
4464	557	3907
4550	652	3898
4830	610	4220
4669	615	4054
4719	688	4031
4551	660	3891
4587	594	3993
4810	770	4040
4936	697	4239
4513	572	3941
4931	629	4302
4680	661	4019
4578	650	3928
4626	580	4046
4740	698	4042
4613	639	3974
4687	702	3985
5030	691	4339
4694	597	4097
4576	695	3881
4551	695	3856
4300	637	3663
4804	708	4096
4773	653	4120
4489	667	3822
4608	689	3919
4949	656	4293
4235	540	3695
4552	680	3872
4641	652	3989
4586	616	3970
4623	653	3970
4542	749	3793
4786	670	4116
4411	606	3805
4850	684	4166
4801	620	4181
4602	690	3912
4989	693	4296
4790	692	4098
4392	647	3745
4600	677	3923
4876	669	4207
4527	580	3947
4630	647	3983
4400	601	3799
4729	689	4040
4569	643	3926
4362	637	3725
4431	679	3752
4633	578	4055
4518	616	3902
4615	696	3919
4759	617	4142
4596	641	3955
4664	655	4009
4593	595	3998
4428	660	3768
4606	617	3989
4566	684	3882
4734	669	4065
4844	710	4134
4335	575	3760
4474	614	3860
4820	662	4158
4551	651	3900
4730	708	4022
4889	679	4210
4467	685	3782
4645	598	4047
4685	677	4008
4607	623	3984
4677	684	3993
4808	681	4127
4664	647	4017
4573	617	3956
4542	690	3852
4795	664	4131
4881	688	4193
4518	680	3838
4635	570	4065
4297	650	3647
4836	718	4118
4563	674	3889
4449	637	3812
5053	710	4343
4766	670	4096
4614	603	4011
4567	646	3921
4398	602	3796
4281	622	3659
4631	606	4025
4599	752	3847
4649	644	4005
4488	696	3792
4364	571	3793
4707	652	4055
4699	576	4123
4609	641	3968
4699	743	3956
4623	639	3984
4787	713	4074
4750	802	3948
4767	717	4050
4574	652	3922
4845	689	4156
4958	745	4213
4590	651	3939
4789	760	4029
4599	598	4001
4711	694	4017
4499	680	3819
4904	761	4143
4863	755	4108
4632	627	4005
5134	635	4499
4616	710	3906
4867	711	4156
4899	836	4063
4604	664	3940
4981	657	4324
4772	637	4135
4405	597	3808
4907	757	4150
4761	684	4077
4976	707	4269
4790	645	4145
4445	657	3788
4932	718	4214
4922	660	4262
4339	581	3758
4353	531	3822
4818	674	4144
4934	621	4313
4648	643	4005
4722	719	4003
4790	645	4145
4370	624	3746
4905	617	4288
4463	658	3805
4510	610	3900
4480	665	3815
4593	743	3850
4633	646	3987
4404	606	3798
4380	706	3674
4942	755	4187
4694	698	3996
4832	713	4119
4742	774	3968
4563	656	3907
4596	698	3898
5000	793	4207
4388	610	3778
4686	607	4079
4640	660	3980
4981	667	4314
4701	608	4093
4866	704	4162
4972	654	4318
4646	708	3938
4538	666	3872
4400	709	3691
4740	654	4086
4884	703	4181
5051	768	4283
4354	612	3742
4422	541	3881
4842	740	4102
4400	637	3763
4747	633	4114
4565	667	3898
4660	682	3978
4579	600	3979
4838	644	4194
4887	714	4173
4494	651	3843
5142	686	4456
4631	656	3975
4418	588	3830
4727	639	4088
4547	655	3892
4426	582	3844
4407	596	3811
4408	596	3812
4868	598	4270
4704	661	4043
4788	760	4028
4777	614	4163
4595	599	3996
4729	774	3955
4742	712	4030
4358	618	3740
4819	624	4195
4795	679	4116
4623	585	4038
4596	671	3925
4511	652	3859
4744	696	4048
4643	687	3956
4732	687	4045
4640	695	3945
5187	697	4490
4580	635	3945
4731	664	4067
5130	735	4395
4715	642	4073
4589	601	3988
4590	628	3962
4487	729	3758
4632	658	3974
4550	586	3964
4823	718	4105
4451	718	3733
4672	614	4058
4576	609	3967
4387	610	3777
4613	601	4012
4789	651	4138
4770	706	4064
4746	730	4016
4707	649	4058
4755	697	4058
4719	694	4025
4802	682	4120
4688	716	3972
4694	711	3983
4535	630	3905
4921	678	4243
4431	674	3757
4666	680	3986
4309	625	3684
5114	714	4400
4724	687	4037
4764	632	4132
4823	641	4182
4459	667	3792
4842	609	4233
4715	718	3997
4860	766	4094
4736	608	4128
5017	748	4269
4852	638	4214
4487	742	3745
4818	723	4095
4506	628	3878
4706	624	4082
4846	559	4287
4488	708	3780
4960	652	4308
4371	611	3760
4875	649	4226
4412	695	3717
4501	672	3829
4238	652	3586
4930	612	4318
4752	612	4140
4744	700	4044
4910	748	4162
4509	615	3894
5153	682	4471
4714	667	4047
4663	675	3988
4323	673	3650
5203	773	4430
4252	578	3674
4792	708	4084
4770	673	4097
4784	669	4115
4952	707	4245
4721	595	4126
4221	590	3631
4584	641	3943
4755	737	4018
4690	742	3948
4401	638	3763
5160	639	4521
4453	622	3831
4896	699	4197
4647	718	3929
4731	649	4082
4807	706	4101
4892	683	4209
4585	632	3953
4875	637	4238
4715	662	4053
4470	715	3755
4878	657	4221
4488	592	3896
4393	637	3756
4599	634	3965
4540	703	3837
4555	609	3946
4652	611	4041
4488	570	3918
4630	574	4056
5133	703	4430
4720	688	4032
4769	619	4150
4725	670	4055
4654	677	3977
4260	589	3671
5069	626	4443
4396	604	3792
4707	670	4037
4790	651	4139
4400	667	3733
4920	639	4281
4463	607	3856
4882	677	4205
4835	638	4197
4812	609	4203
4587	618	3969
4403	629	3774
4660	703	3957
4448	620	3828
4601	648	3953
4567	667	3900
4885	704	4181
4801	714	4087
4565	680	3885
4885	661	4224
4496	651	3845
4357	543	3814
4476	598	3878
4742	672	4070
4675	778	3897
4493	642	3851
4857	713	4144
4444	678	3766
4947	713	4234
4761	626	4135
4557	649	3908
4266	532	3734
4435	580	3855
4647	603	4044
4527	691	3836
4765	640	4125
4736	714	4022
4390	648	3742
4432	691	3741
4846	756	4090
4676	594	4082
4774	708	4066
4548	613	3935
4733	675	4058
4849	734	4115
4509	669	3840
5054	705	4349
4638	746	3892
4571	658	3913
4691	644	4047
4510	721	3789
4926	615	4311
4497	764	3733
4365	684	3681
4835	594	4241
4468	651	3817
4816	643	4173
4645	640	4005
4803	625	4178
4857	737	4120
4565	658	3907
4942	718	4224
4474	661	3813
4831	607	4224
4451	599	3852
4704	661	4043
4644	611	4033
4566	657	3909
4728	702	4026
4964	726	4238
4347	608	3739
4799	715	4084
4689	639	4050
4388	650	3738
4387	657	3730
5101	711	4390
4395	629	3766
4784	664	4120
4792	639	4153
4506	714	3792
4602	732	3870
4609	581	4028
4508	634	3874
5044	710	4334
4708	672	4036
4525	581	3944
4483	557	3926
4733	600	4133
4433	610	3823
4940	668	4272
4493	592	3901
4972	664	4308
4668	743	3925
4404	577	3827
5006	704	4302
4688	683	4005
4686	622	4064
4916	692	4224
4878	636	4242
4538	648	3890
4806	661	4145
4481	661	3820
4640	611	4029
4562	593	3969
4529	617	3912
4824	682	4142
4869	635	4234
4177	555	3622
4410	601	3809
4307	626	3681
4933	693	4240
4795	686	4109
4848	658	4190
4478	716	3762
4539	692	3847
4661	654	4007
4582	567	4015
4740	614	4126
4589	656	3933
4601	757	3844
4522	619	3903
4868	633	4235
4418	701	3717
4688	669	4019
5023	752	4271
5061	722	4339
4998	700	4298
5011	706	4305
4807	722	4085
4775	720	4055
4927	656	4271
4318	581	3737
4926	613	4313
4646	618	4028
4799	679	4120
4294	602	3692
4668	624	4044
4746	628	4118
4523	614	3909
4945	685	4260
4718	592	4126
4843	741	4102
4590	656	3934
4510	617	3893
4723	633	4090
5005	722	4283
4741	704	4037
4926	649	4277
4960	628	4332
4387	621	3766
4885	791	4094
4632	694	3938
4548	641	3907
4751	679	4072
4545	653	3892
4494	663	3831
4831	709	4122
4959	634	4325
4490	643	3847
4273	600	3673
4737	648	4089
4566	665	3901
4720	715	4005
5113	676	4437
4607	610	3997
4653	653	4000
4657	647	4010
4731	685	4046
4467	646	3821
4734	648	4086
4807	689	4118
4389	613	3776
4962	739	4223
4514	635	3879
4737	641	4096
4614	706	3908
4530	549	3981
4509	627	3882
4646	688	3958
4634	747	3887
5072	715	4357
4682	669	4013
4371	652	3719
4789	656	4133
4553	630	3923
4659	674	3985
4762	669	4093
4913	704	4209
4084	507	3577
4242	580	3662
4434	699	3735
4917	699	4218
4995	616	4379
4571	614	3957
4824	670	4154
4703	612	4091
4909	683	4226
4476	662	3814
4667	761	3906
5025	699	4326
4537	681	3856
4746	631	4115
4888	714	4174
4562	602	3960
4860	668	4192
4632	663	3969
4461	571	3890
4733	634	4099
4771	619	4152
4788	661	4127
4595	640	3955
4753	738	4015
4909	660	4249
4584	676	3908
4853	692	4161
4722	626	4096
4376	649	3727
4744	741	4003
4274	590	3684
4748	576	4172
4462	680	3782
4552	673	3879
4596	610	3986
4798	681	4117
4625	643	3982
4989	713	4276
4500	674	3826
4498	635	3863
5034	663	4371
4830	707	4123
4681	641	4040
4827	661	4166
4722	659	4063
4391	654	3737
4682	725	3957
4793	653	4140
4751	697	4054
4667	662	4005
4776	647	4129
5027	707	4320
4561	660	3901
4954	738	4216
4387	538	3849
4807	719	4088
4487	647	3840
4621	608	4013
4768	644	4124
4927	755	4172
4800	666	4134
4239	613	3626
4784	663	4121
4804	646	4158
4894	691	4203
4940	643	4297
4368	656	3712
4644	659	3985
4601	651	3950
5057	780	4277
4351	560	3791
4997	675	4322
4520	631	3889
4851	716	4135
4700	645	4055
4568	726	3842
4732	682	4050
4666	554	4112
4487	667	3820
5065	776	4289
5056	672	4384
4776	747	4029
4635	657	3978
4416	665	3751
4940	711	4229
4710	678	4032
4617	685	3932
4705	679	4026
4521	646	3875
4262	550	3712
4478	651	3827
4618	697	3921
4566	623	3943
4568	695	3873
4676	643	4033
5122	759	4363
4818	774	4044
4380	615	3765
4824	688	4136
4552	633	3919
4840	721	4119
4367	616	3751
5095	708	4387
4756	657	4099
4716	638	4078
5003	649	4354
4996	651	4345
4611	623	3988
4579	646	3933
5091	777	4314
4790	706	4084
4932	714	4218
4935	670	4265
4795	757	4038
4341	643	3698
4810	629	4181
4453	705	3748
4352	534	3818
4701	650	4051
4645	644	4001
4428	636	3792
4643	662	3981
5078	743	4335
4541	691	3850
4770	679	4091
4288	598	3690
4989	728	4261
4663	662	4001
4387	682	3705
4518	590	3928
4743	639	4104
4612	620	3992
4897	646	4251
4701	648	4053
4949	678	4271
4729	767	3962
4708	608	4100
4682	570	4112
4918	689	4229
4244	599	3645
4449	678	3771
4523	691	3832
4527	699	3828
4715	687	4028
4535	591	3944
4664	698	3966
4342	635	3707
4615	714	3901
4684	648	4036
4885	655	4230
4748	725	4023
4311	593	3718
4618	729	3889
4501	607	3894
4572	652	3920
4712	625	4087
4593	691	3902
5214	792	4422
4380	669	3711
4829	617	4212
4354	599	3755
4838	694	4144
4607	615	3992
4968	737	4231
4646	660	3986
4692	622	4070
4440	571	3869
4897	647	4250
4654	622	4032
4678	707	3971
4615	601	4014
4645	656	3989
4594	604	3990
4513	656	3857
4541	615	3926
5047	727	4320
4646	705	3941
4630	597	4033
4547	597	3950
4585	666	3919
4601	652	3949
4986	628	4358
4365	633	3732
4752	647	4105
4555	670	3885
4745	637	4108
4714	666	4048
4433	698	3735
4503	641	3862
4517	617	3900
4429	689	3740
4677	678	3999
4434	631	3803
4725	663	4062
4547	604	3943
4676	619	4057
4653	716	3937
4401	601	3800
4527	673	3854
4793	752	4041
4542	638	3904
4863	763	4100
4678	667	4011
4403	608	3795
4407	650	3757
4850	719	4131
4361	621	3740
4733	694	4039
4470	630	3840
4313	674	3639
4837	604	4233
4497	569	3928
4697	749	3948
5039	805	4234
4828	706	4122
4951	725	4226
4610	640	3970
4301	611	3690
4315	610	3705
4445	646	3799
4452	655	3797
4447	638	3809
4781	607	4174
4575	667	3908
4664	698	3966
4357	670	3687
5141	715	4426
4704	679	4025
4486	728	3758
4902	700	4202
4728	712	4016
4846	654	4192
4640	662	3978
4597	643	3954
4384	697	3687
5195	747	4448
4640	654	3986
4656	673	3983
4710	653	4057
4766	688	4078
4766	742	4024
4855	695	4160
4340	629	3711
4496	603	3893
4394	587	3807
4853	631	4222
4542	656	3886
4762	705	4057
4852	739	4113
5049	758	4291
4691	657	4034
4740	658	4082
4317	659	3658
4563	704	3859
4762	717	4045
4832	724	4108
4971	706	4265
4891	677	4214
4432	556	3876
4620	720	3900
4576	596	3980
4519	645	3874
4690	734	3956
4390	693	3697
4384	550	3834
4859	633	4226
4626	648	3978
4664	633	4031
4328	597	3731
4737	746	3991
4539	561	3978
4590	640	3950
4910	647	4263
4671	611	4060
4504	703	3801
4692	700	3992
4940	642	4298
4606	718	3888
4709	664	4045
4592	706	3886
4602	570	4032
4365	597	3768
4709	644	4065
4958	711	4247
5038	719	4319
4513	571	3942
4907	747	4160
4681	591	4090
4564	597	3967
4780	673	4107
4648	630	4018
4681	652	4029
4926	690	4236
4571	616	3955
4748	824	3924
4585	670	3915
4995	735	4260
4795	650	4145
4744	737	4007
4814	701	4113
4683	558	4125
4587	594	3993
4326	586	3740
4583	667	3916
4752	646	4106
4645	663	3982
4767	661	4106
4866	712	4154
4838	720	4118
4349	596	3753
4621	657	3964
4470	614	3856
4559	590	3969
4879	713	4166
4813	627	4186
4796	627	4169
4761	657	4104
4406	719	3687
4353	640	3713
4103	546	3557
4528	691	3837
4902	752	4150
4530	681	3849
4314	545	3769
4422	638	3784
4861	720	4141
4380	620	3760
4892	716	4176
5100	646	4454
4913	733	4180
4647	659	3988
4753	688	4065
4719	657	4062
4425	564	3861
4765	588	4177
4618	693	3925
4746	637	4109
4461	705	3756
4759	640	4119
4696	611	4085
4609	634	3975
5114	713	4401
4740	710	4030
4602	681	3921
4661	711	3950
4475	642	3833
5087	684	4403
4631	606	4025
4553	615	3938
4481	735	3746
4715	578	4137
4797	660	4137
4342	554	3788
5081	708	4373
4586	660	3926
4557	636	3921
4609	635	3974
4504	694	3810
4690	588	4102
4867	748	4119
4649	571	4078
4569	638	3931
4812	679	4133
4696	723	3973
4668	637	4031
4714	695	4019
4963	677	4286
5168	687	4481
4735	751	3984
4687	665	4022
4793	711	4082
4706	692	4014
4959	710	4249
4582	579	4003
4385	629	3756
4544	606	3938
4521	581	3940
4907	673	4234
4680	762	3918
4497	680	3817
4344	627	3717
5227	744	4483
4780	690	4090
4482	669	3813
4613	612	4001
4877	722	4155
5088	718	4370
4990	741	4249
4511	581	3930
4766	684	4082
4958	731	4227
4649	662	3987
4692	647	4045
4664	678	3986
4700	716	3984
4841	633	4208
4484	710	3774
4538	556	3982
4831	733	4098
4646	624	4022
4837	616	4221
4335	615	3720
5066	676	4390
5043	699	4344
4374	602	3772
4370	619	3751
4772	665	4107
4829	709	4120
4399	592	3807
4866	733	4133
4403	631	3772
4544	659	3885
4750	768	3982
5020	672	4348
4679	580	4099
4753	648	4105
4780	686	4094
4877	676	4201
4594	673	3921
4809	659	4150
4345	567	3778
4887	641	4246
4887	747	4140
4706	726	3980
4745	678	4067
4652	609	4043
4623	643	3980
4898	636	4262
4991	690	4301
4525	630	3895
5041	778	4263
4471	608	3863
4649	702	3947
5126	776	4350
4957	708	4249
4692	638	4054
4777	709	4068
4563	671	3892
4940	647	4293
4721	764	3957
4904	644	4260
4706	681	4025
4878	676	4202
4463	656	3807
5060	707	4353
4712	724	3988
5125	535	4590
4607	658	3949
4477	701	3776
4663	608	4055
4277	657	3620
4954	684	4270
4972	718	4254
4977	735	4242
4828	662	4166
4444	532	3912
4521	690	3831
4442	627	3815
4738	675	4063
4583	663	3920
4541	547	3994
4747	646	4101
4384	648	3736
4582	694	3888
5071	677	4394
4720	707	4013
4525	616	3909
4839	669	4170
4411	615	3796
4836	748	4088
4582	692	3890
4376	656	3720
4838	667	4171
4438	670	3768
4732	617	4115
4551	595	3956
4676	584	4092
5041	689	4352
4461	632	3829
4947	604	4343
4569	612	3957
4738	688	4050
5001	643	4358
4779	595	4184
4686	671	4015
4899	712	4187
4535	687	3848
4637	644	3993
4683	637	4046
4815	680	4135
5184	698	4486
4740	621	4119
4835	620	4215
4826	697	4129
4755	630	4125
4868	678	4190
4897	696	4201
4625	665	3960
4350	672	3678
4788	682	4106
4775	674	4101
4679	785	3894
4727	702	4025
4431	632	3799
5101	737	4364
4748	703	4045
4595	617	3978
4619	715	3904
4742	660	4082
4853	647	4206
4511	639	3872
4718	637	4081
4585	647	3938
4964	690	4274
4553	642	3911
4586	600	3986
4801	659	4142
4789	702	4087
4684	606	4078
4829	704	4125
4788	638	4150
4628	668	3960
4137	628	3509
4992	730	4262
4674	601	4073
5030	700	4330
4418	632	3786
4771	704	4067
4591	654	3937
5067	634	4433
4569	638	3931
4702	665	4037
4539	703	3836
4700	607	4093
4718	682	4036
4848	705	4143
4494	647	3847
5209	722	4487
5149	777	4372
4380	616	3764
4768	797	3971
4696	647	4049
4715	576	4139
4886	654	4232
4411	618	3793
4422	632	3790
4370	620	3750
4605	689	3916
4639	698	3941
4825	689	4136
4630	592	4038
5153	760	4393
4603	655	3948
4403	644	3759
4695	685	4010
4102	518	3584
4898	698	4200
4422	621	3801
4685	607	4078
4771	615	4156
4725	757	3968
4769	648	4121
4308	640	3668
4802	658	4144
4628	676	3952
4471	647	3824
4941	654	4287
5119	673	4446
4408	627	3781
4474	586	3888
4526	639	3887
5034	684	4350
4546	748	3798
4903	695	4208
4826	661	4165
4659	751	3908
4469	571	3898
4583	710	3873
4698	666	4032
4991	745	4246
4813	667	4146
4767	658	4109
4794	660	4134
4902	655	4247
4603	701	3902
4879	705	4174
4743	584	4159
4954	720	4234
4791	706	4085
